instance,min_fitness,max_fitness,mean,optimum
gk01,gwo,3754,3762,3757.366666666667,3766
gk01,slms,3702,3746,3725.4,3766
gk02,gwo,3949,3955,3951.0,3958
gk02,slms,3895,3922,3912.8,3958
gk03,gwo,5631,5647,5639.033333333334,5656
gk03,slms,5542,5587,5566.3,5656
gk04,gwo,5736,5755,5746.066666666667,0
gk04,slms,5671,5707,5684.166666666667,0
gk05,gwo,7548,7555,7552.4,0
gk05,slms,7381,7474,7434.866666666667,0
gk06,gwo,7650,7666,7657.9,0
gk06,slms,7507,7585,7555.066666666667,0
gk07,gwo,19201,19213,19206.133333333335,0
gk07,slms,19092,19129,19106.133333333335,0
