instance,min_fitness,max_fitness,mean,optimum
weish20,gwo,9450,9450,9450.0,9450
weish20,slms,9400,9441,9426.3,9450
weing1,gwo,141278,141278,141278.0,141278
weing1,slms,139278,140618,139546.0,141278
weing2,gwo,130883,130883,130883.0,130883
weing2,slms,128322,130723,129223.7,130883
weish19,gwo,7698,7698,7698.0,7698
weish19,slms,7674,7698,7685.1,7698
weing3,gwo,95627,95677,95657.0,95677
weing3,slms,93278,94908,93441.0,95677
weish15,gwo,7486,7486,7486.0,7486
weish15,slms,7442,7486,7447.6,7486
weing5,gwo,98796,98796,98796.0,98796
weing5,slms,95627,98796,97236.5,98796
weing6,gwo,130623,130623,130623.0,130623
weing6,slms,128322,130123,129490.7,130623
weish14,gwo,6954,6954,6954.0,6954
weish14,slms,6954,6954,6954.0,6954
