instance,min_fitness,max_fitness,mean,optimum
weing1,gwo,141278,141278,141278.0,141278
weing1,slms,139278,140618,139657.8,141278
weing2,gwo,130883,130883,130883.0,130883
weing2,slms,128322,130723,129143.56666666667,130883
weing3,gwo,95627,95677,95665.33333333333,95677
weing3,slms,93278,95627,93488.93333333333,95677
weing4,gwo,119337,119337,119337.0,119337
weing4,slms,119337,119337,119337.0,119337
weing5,gwo,98796,98796,98796.0,98796
weing5,slms,95627,98796,97126.7,98796
weing6,gwo,130623,130623,130623.0,130623
weing6,slms,128322,130213,129759.56666666667,130623
weing7,gwo,1095382,1095445,1095384.1,1095445
weing7,slms,1093707,1094917,1094848.0,1095445
weing8,gwo,624319,624319,624319.0,624319
weing8,slms,620060,621086,620094.2,624319
