instance,min_fitness,max_fitness,mean,optimum
weish01,gwo,4554,4554,4554.0,4554
weish01,slms,4554,4554,4554.0,4554
weish02,gwo,4531,4536,4535.333333333333,4536
weish02,slms,4536,4536,4536.0,4536
weish03,gwo,4115,4115,4115.0,4115
weish03,slms,4051,4052,4051.366666666667,4115
weish04,gwo,4561,4561,4561.0,4561
weish04,slms,4561,4561,4561.0,4561
weish05,gwo,4514,4514,4514.0,4514
weish05,slms,4514,4514,4514.0,4514
weish06,gwo,5557,5557,5557.0,5557
weish06,slms,5542,5557,5546.633333333333,5557
weish07,gwo,5567,5567,5567.0,5567
weish07,slms,5567,5567,5567.0,5567
weish08,gwo,5605,5605,5605.0,5605
weish08,slms,5603,5605,5604.933333333333,5605
weish09,gwo,5246,5246,5246.0,5246
weish09,slms,5246,5246,5246.0,5246
weish10,gwo,6339,6339,6339.0,6339
weish10,slms,6338,6339,6338.966666666666,6339
weish11,gwo,5643,5643,5643.0,5643
weish11,slms,5643,5643,5643.0,5643
weish12,gwo,6339,6339,6339.0,6339
weish12,slms,6339,6339,6339.0,6339
weish13,gwo,6159,6159,6159.0,6159
weish13,slms,6088,6159,6120.033333333334,6159
weish14,gwo,6954,6954,6954.0,6954
weish14,slms,6954,6954,6954.0,6954
weish15,gwo,7486,7486,7486.0,7486
weish15,slms,7442,7486,7443.866666666667,7486
weish16,gwo,7289,7289,7289.0,7289
weish16,slms,7287,7289,7288.066666666667,7289
weish17,gwo,8633,8633,8633.0,8633
weish17,slms,8601,8633,8621.133333333333,8633
weish18,gwo,9580,9580,9580.0,9580
weish18,slms,9526,9573,9551.566666666668,9580
weish19,gwo,7698,7698,7698.0,7698
weish19,slms,7674,7698,7682.1,7698
weish20,gwo,9450,9450,9450.0,9450
weish20,slms,9400,9441,9429.566666666668,9450
weish21,gwo,9074,9074,9074.0,9074
weish21,slms,9067,9074,9073.766666666666,9074
weish22,gwo,8947,8947,8947.0,8947
weish22,slms,8886,8947,8913.166666666666,8947
weish23,gwo,8344,8344,8344.0,8344
weish23,slms,8299,8344,8339.8,8344
weish24,gwo,10215,10220,10219.666666666666,10220
weish24,slms,10145,10202,10185.8,10220
weish25,gwo,9923,9939,9931.0,9939
weish25,slms,9922,9922,9922.0,9939
weish26,gwo,9584,9584,9584.0,9584
weish26,slms,9581,9584,9583.1,9584
weish27,gwo,9819,9819,9819.0,9819
weish27,slms,9819,9819,9819.0,9819
weish28,gwo,9492,9492,9492.0,9492
weish28,slms,9469,9492,9485.866666666667,9492
weish29,gwo,9410,9410,9410.0,9410
weish29,slms,9373,9410,9392.6,9410
weish30,gwo,11191,11191,11191.0,11191
weish30,slms,11108,11160,11132.7,11191


