instance,min_fitness,max_fitness,mean,optimum
weish01,pso,3930,4401,4231.0,4554
weish12,pso,4878,5725,5314.4,6339
weish20,pso,6097,7790,6959.4,9450
weish17,pso,7703,8321,7933.6,8633
weish23,pso,5967,7656,6781.1,8344
weish24,pso,7269,9118,8190.1,10220
weish09,pso,3993,5246,4429.9,5246
weish25,pso,6217,8038,7323.7,9939
weish30,pso,7639,9418,8418.1,11191
weish11,pso,4303,5355,4838.9,5643
weish26,pso,6604,8123,7457.0,9584
weish22,pso,6515,8156,7065.3,8947
weish28,pso,6589,8014,7396.1,9492
weish02,pso,3820,4531,4232.4,4536
weish08,pso,4389,5367,4833.3,5605
weish19,pso,5930,6808,6164.6,7698
weish03,pso,3188,4017,3723.2,4115
weish07,pso,4320,5309,4852.5,5567
weish15,pso,4855,6190,5686.9,7486
weish05,pso,3467,4354,3998.0,4514
weish29,pso,6573,8001,7330.0,9410
weish10,pso,4878,5771,5326.0,6339
weish27,pso,6788,8645,7543.9,9819
weish14,pso,5028,6086,5589.8,6954
weish13,pso,4840,5540,5259.0,6159
weish21,pso,6361,7993,6882.2,9074
weish16,pso,5201,6193,5761.7,7289
weish18,pso,6870,8535,7662.9,9580
weish04,pso,3739,4468,4127.8,4561
weish06,pso,4228,5403,4878.1,5557
