instance,min_fitness,max_fitness,mean,optimum
weish01,pso,3907,4233,4047.1,4554
weish12,pso,4878,5688,5303.7,6339
weish20,pso,6097,7343,6870.9,9450
weish17,pso,5819,6744,6242.2,8633
weish23,pso,5967,7656,6781.1,8344
weish24,pso,7269,8386,7664.8,10220
weish09,pso,3936,4881,4376.5,5246
weish25,pso,6217,8038,7258.0,9939
weish30,pso,7522,9411,8198.8,11191
weish11,pso,4303,5355,4838.9,5643
weish26,pso,6604,8123,7457.0,9584
weish22,pso,6515,8156,7065.3,8947
weish28,pso,6589,8014,7396.1,9492
weish02,pso,3420,4346,3872.1,4536
weish08,pso,3980,4980,4536.8,5605
weish19,pso,5930,6808,6164.6,7698
weish03,pso,3188,3897,3681.5,4115
weish07,pso,3972,5254,4575.1,5567
weish15,pso,4855,6190,5686.9,7486
weish05,pso,3207,4284,3748.0,4514
weish29,pso,6573,8001,7330.0,9410
weish10,pso,4878,5771,5326.0,6339
weish27,pso,6788,8645,7543.9,9819
weish14,pso,5028,6071,5553.4,6954
weish13,pso,4840,5540,5198.2,6159
weish21,pso,6361,7993,6882.2,9074
weish16,pso,5201,6193,5668.7,7289
weish18,pso,6802,7791,7352.2,9580
weish04,pso,3596,4331,3972.4,4561
weish06,pso,4025,5167,4617.9,5557
