instance,min_fitness,max_fitness,mean,optimum
weish01,pso,4530,4554,4551.6,4554
weish12,pso,6339,6339,6339.0,6339
weish20,pso,9441,9450,9441.9,9450
weish17,pso,8633,8633,8633.0,8633
weish23,pso,8341,8344,8343.7,8344
weish24,pso,10215,10220,10218.5,10220
weish09,pso,5246,5246,5246.0,5246
weish25,pso,9923,9939,9932.6,9939
weish30,pso,11191,11191,11191.0,11191
weish11,pso,5643,5643,5643.0,5643
weish26,pso,9552,9584,9558.4,9584
weish22,pso,8882,8947,8902.4,8947
weish28,pso,9492,9492,9492.0,9492
weish02,pso,4506,4536,4512.0,4536
weish08,pso,5603,5605,5603.6,5605
weish19,pso,7685,7698,7692.8,7698
weish03,pso,4106,4115,4106.9,4115
weish07,pso,5567,5567,5567.0,5567
weish15,pso,7458,7486,7469.2,7486
weish05,pso,4514,4514,4514.0,4514
weish29,pso,9410,9410,9410.0,9410
weish10,pso,6338,6339,6338.8,6339
weish27,pso,9819,9819,9819.0,9819
weish14,pso,6954,6954,6954.0,6954
weish13,pso,6159,6159,6159.0,6159
weish21,pso,9025,9074,9060.5,9074
weish16,pso,7287,7288,7287.1,7289
weish18,pso,9580,9580,9580.0,9580
weish04,pso,4561,4561,4561.0,4561
weish06,pso,5557,5557,5557.0,5557
