instance,min_fitness,max_fitness,mean,optimum
weish01,pso,4243,4549,4373.7,4554
weish12,pso,5588,6116,5886.1,6339
weish20,pso,7624,8922,8186.2,9450
weish17,pso,6923,7782,7283.6,8633
weish23,pso,7153,7859,7476.2,8344
weish24,pso,8176,8857,8500.5,10220
weish09,pso,4593,5212,5019.1,5246
weish25,pso,8092,8812,8400.2,9939
weish30,pso,8823,9810,9241.8,11191
weish11,pso,5062,5621,5353.1,5643
weish26,pso,8208,8779,8403.6,9584
weish22,pso,7430,8392,7914.2,8947
weish28,pso,7906,8765,8348.2,9492
weish02,pso,4090,4473,4317.9,4536
weish08,pso,5023,5419,5244.1,5605
weish19,pso,6643,7411,7013.2,7698
weish03,pso,3804,4056,3968.0,4115
weish07,pso,4915,5550,5276.5,5567
weish15,pso,5857,7239,6655.8,7486
weish05,pso,3752,4451,4138.1,4514
weish29,pso,7656,8524,8240.6,9410
weish10,pso,5635,6247,5954.1,6339
weish27,pso,7968,8791,8426.6,9819
weish14,pso,5859,6790,6411.3,6954
weish13,pso,5589,6030,5822.5,6159
weish21,pso,7852,8429,8134.2,9074
weish16,pso,6455,7016,6718.3,7289
weish18,pso,7603,8620,8300.1,9580
weish04,pso,3596,4561,4264.9,4561
weish06,pso,4782,5424,5160.2,5557
